timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.831179988,4F0,8,80,00,00,00,00,c5,bc,14
0.833845511,153,8,00,80,10,ff,00,ff,00,00
0.836456295,350,8,15,13,93,83,88,00,00,9e
0.839362583,545,8,e4,12,00,89,8e,00,92,00
0.842279135,220,8,fd,03,e7,03,a1,01,c1,0f
0.844885642,350,8,15,13,a3,83,88,00,00,ae
0.847596068,43F,8,00,40,60,ff,54,c0,0b,00
0.850259453,220,8,ff,03,ef,03,9f,01,c1,0f
0.85294422,4F0,8,80,00,00,00,00,c5,bc,14
0.855878305,18F,8,fe,3c,19,00,00,51,00,00
0.858690083,370,8,ff,20,00,00,ff,00,00,e4
0.861422746,545,8,e4,12,00,89,91,00,97,00
0.864127185,220,8,f9,03,f4,03,a1,01,c1,0f
0.866788431,2A0,8,00,00,6a,00,00,00,00,00
0.869403492,545,8,e4,12,00,89,91,00,97,00
0.87238248,220,8,f9,03,e7,03,9f,01,c1,0f
0.8752011,4F0,8,80,00,00,00,00,c5,bc,14
0.877871755,18F,8,fe,3b,19,00,00,51,00,00
0.880569779,440,8,ff,f0,00,00,ff,c4,0b,00
0.883263527,59B,8,00,00,00,00,00,00,00,4c
0.885917075,220,8,ff,03,f1,03,a1,01,c1,0f
0.90303193,2B0,5,c4,ff,00,07,b4,51,00,00
0.905858676,545,8,e4,12,00,88,96,00,98,00
0.908804307,220,8,ff,03,f1,03,9f,01,c1,0f
0.911741814,4F0,8,80,00,00,00,00,c5,bc,14
0.913323252,329,8,ed,92,80,90,0a,20,00,14
0.915816005,545,8,e4,12,00,89,97,00,98,00
0.917360666,220,8,fd,03,f4,03,9f,01,c1,0f
0.919988128,153,8,00,80,10,ff,00,ff,00,00
0.923862181,370,8,ff,20,00,00,ff,00,00,a8
0.925390163,545,8,e4,12,00,89,97,00,9a,00
0.92792953,220,8,fa,03,e9,03,9f,01,c1,0f
0.930146024,429,8,52,02,00,00,00,00,2d,03
0.931925035,440,8,ff,f0,00,00,ff,c4,0b,00
0.934349792,1F1,8,00,00,00,00,00,00,00,00
0.935831589,350,8,15,13,23,83,88,00,00,2e
0.937296707,260,8,17,19,00,30,00,64,00,00
0.939217697,440,8,ff,00,00,00,ff,bc,0b,00
0.940359514,545,8,e4,12,00,89,99,00,9d,00
0.941420933,220,8,ff,03,f5,03,9f,01,c1,0f
0.942464391,18F,8,fe,3c,19,00,00,51,00,00
0.943518969,545,8,e4,12,00,89,9c,00,9d,00
0.944470911,1F1,8,00,00,00,00,00,00,00,00
