time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.050897673,0,220,8,ff,03,e7,03,00,00,da,0f
1.054438589,0,350,8,27,13,73,7f,80,00,00,b8
1.057504817,0,2A0,8,00,00,64,00,00,00,00,00
1.06033199,0,440,8,ff,50,00,00,ff,7c,0c,00
1.06315617,0,350,8,27,13,83,7f,80,00,00,48
1.065990186,0,428,8,05,00,00,80,65,08,02,00
1.068970457,0,545,8,dc,14,00,8a,36,00,37,00
1.072008888,0,440,8,ff,a0,00,00,ff,7c,0c,00
1.074904057,0,350,8,27,13,93,7f,80,00,00,58
1.076069822,0,18F,8,fe,4b,1a,00,00,56,00,00
1.079380664,0,370,8,ff,20,00,00,ff,00,00,6c
1.082411825,0,350,8,27,13,a3,7f,80,00,00,68
1.084058266,0,4F0,8,80,00,00,00,00,63,c6,14
1.087523916,0,329,8,40,72,7f,90,49,20,00,14
1.08876623,0,440,8,ff,00,00,00,ff,74,0c,00
1.092521824,0,220,8,ff,03,f7,03,00,00,da,0f
1.094317941,0,316,8,45,1a,8c,0d,1a,17,00,00
1.09751845,0,545,8,dc,14,00,8a,36,00,38,00
1.09879797,0,1F1,8,00,00,00,00,00,00,00,00
1.102282009,0,350,8,27,13,c3,7f,80,00,00,08
1.105425213,0,18F,8,fe,4c,1a,00,00,56,00,00
1.108237419,0,440,8,ff,a0,00,00,ff,84,0c,00
1.109807738,0,350,8,27,13,d3,7f,80,00,00,18
1.112276116,0,220,8,ff,03,e4,03,00,00,c7,0f
1.11454521,0,545,8,dc,14,00,89,37,00,37,00
1.118014709,0,430,8,00,00,00,00,00,00,00,00
1.119828787,0,4F0,8,80,00,00,00,00,63,c6,14
1.123475759,0,18F,8,fe,4b,1a,00,00,56,00,00
1.12641241,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.127997269,0,350,8,27,13,f3,7f,80,00,00,38
1.130422882,0,220,8,fd,03,f7,03,00,00,c1,0f
1.133958667,0,2B0,5,d9,ff,00,07,fc,00,00,00
1.135953212,0,440,8,ff,50,00,00,ff,7c,0c,00
1.13877226,0,4F0,8,80,00,00,00,00,63,c6,14
1.141629796,0,316,8,45,1a,96,0d,1a,17,00,00
1.143177877,0,220,8,fc,03,ec,03,00,00,c1,0f
1.145627011,0,440,8,ff,a0,00,00,ff,80,0c,00
1.147912783,0,350,8,27,13,13,7f,80,00,00,d8
1.151567454,0,0A1,8,80,80,80,80,63,fa,0c,00
