time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.868352764,0,153,8,00,80,10,ff,00,ff,00,00
0.869689588,0,350,8,2a,13,93,7f,80,00,00,55
0.870670182,0,0A1,8,80,80,80,80,63,e2,0c,00
0.871639657,0,4D0,8,00,ff,fa,00,00,00,00,00
0.872557388,0,690,8,00,00,01,00,00,00,00,00
0.873467848,0,350,8,2a,13,a3,7f,80,00,00,65
0.874371466,0,329,8,ed,73,7f,90,49,20,00,14
0.875277649,0,440,8,ff,00,00,00,ff,6c,0c,00
0.876183833,0,220,8,ff,03,f5,03,00,00,c1,0f
0.877088734,0,350,8,2a,13,b3,7f,80,00,00,75
0.877994062,0,545,8,dc,14,00,8a,3c,00,3d,00
0.878898108,0,1F1,8,00,00,00,00,00,00,00,00
0.879802153,0,350,8,2a,13,c3,7f,80,00,00,05
0.880703205,0,18F,8,fe,53,1a,00,00,56,00,00
0.881607678,0,370,8,ff,20,00,00,ff,00,00,a8
0.882526263,0,440,8,ff,a0,00,00,ff,64,0c,00
0.883501726,0,350,8,2a,13,d3,7f,80,00,00,15
0.884439128,0,545,8,dc,14,00,89,3c,00,38,00
0.885347022,0,4B1,8,00,00,00,00,00,00,00,00
0.886255344,0,350,8,2a,13,e3,7f,80,00,00,25
0.887409135,0,0A1,8,80,80,80,80,63,6a,0c,00
0.888385881,0,545,8,dc,14,00,8a,37,00,38,00
0.889295486,0,440,8,ff,00,00,00,ff,70,0c,00
0.890203807,0,220,8,fd,03,f2,03,00,00,c1,0f
0.891110419,0,2B0,5,d9,ff,00,07,8b,00,00,00
0.892017458,0,440,8,ff,50,00,00,ff,6c,0c,00
0.892923641,0,1F1,8,00,00,00,00,00,00,00,00
0.893826832,0,316,8,45,1a,86,0d,1a,17,00,00
0.894729594,0,220,8,fd,03,e7,03,00,00,c1,0f
0.895631929,0,440,8,ff,a0,00,00,ff,6c,0c,00
0.896532981,0,350,8,2a,13,13,7f,80,00,00,d5
0.897431467,0,260,8,15,1a,00,30,00,61,00,00
0.898335085,0,370,8,ff,20,00,00,ff,00,00,6c
0.899254526,0,430,8,00,00,00,00,00,00,00,00
0.90018423,0,350,8,2a,13,23,7f,80,00,00,e5
0.901178081,0,429,8,55,02,00,00,00,00,2d,03
0.902126174,0,440,8,ff,00,00,00,ff,74,0c,00
0.903035779,0,350,8,2a,13,33,7f,80,00,00,f5
0.904212663,0,0A0,8,45,4e,86,0d,00,ad,00,00
0.905188126,0,690,8,00,00,01,00,00,00,00,00
0.906112698,0,59B,8,00,00,00,00,00,00,00,00
0.907031284,0,1F1,8,00,00,00,00,00,00,00,00
0.907949869,0,2B0,5,d9,ff,00,07,30,00,00,00
0.908862895,0,153,8,00,80,10,ff,00,ff,00,00
0.909770362,0,220,8,ff,03,f7,03,00,00,c1,0f
0.910675262,0,350,8,2a,13,53,7f,80,00,00,95
0.911581874,0,545,8,dc,14,00,8a,36,00,35,00
0.912487202,0,440,8,ff,f0,00,00,ff,78,0c,00
0.913395524,0,153,8,00,80,10,ff,00,ff,00,00
0.914298287,0,260,8,15,1a,00,30,00,60,00,00
0.915219438,0,43F,8,00,40,60,ff,4d,74,0c,00
0.916138879,0,220,8,fd,03,e7,03,00,00,c1,0f
0.917113914,0,350,8,2a,13,73,7f,80,00,00,b5
0.918068421,0,545,8,dc,14,00,89,34,00,35,00
0.918979737,0,4F0,8,80,00,00,00,00,63,c6,14
0.919889769,0,350,8,2a,13,83,7f,80,00,00,45
0.921060666,0,260,8,15,1a,00,30,00,60,00,00
0.922001489,0,545,8,dc,14,00,8a,34,00,36,00
0.922911094,0,440,8,ff,a0,00,00,ff,70,0c,00
0.923817278,0,350,8,2a,13,93,7f,80,00,00,55
0.924726028,0,260,8,15,1a,00,30,00,60,00,00
0.925628362,0,440,8,ff,f0,00,00,ff,6c,0c,00
0.926531553,0,350,8,2a,13,a3,7f,80,00,00,65
0.927435598,0,316,8,45,1a,86,0d,1a,17,00,00
0.928343492,0,429,8,55,02,00,00,00,00,2d,03
0.929244544,0,545,8,dc,14,00,89,35,00,36,00
0.930145169,0,350,8,2a,13,b3,7f,80,00,00,75
0.931060333,0,18F,8,fe,53,1a,00,00,56,00,00
0.931963095,0,43F,8,00,40,60,ff,4d,6c,0c,00
0.932884247,0,440,8,ff,50,00,00,ff,70,0c,00
0.933872966,0,350,8,2a,13,c3,7f,80,00,00,05
0.934818493,0,2B0,5,d9,ff,00,07,b8,00,00,00
0.935731092,0,545,8,dc,14,00,8a,33,00,34,00
0.936641552,0,350,8,2a,13,d3,7f,80,00,00,15
0.937810738,0,0A0,8,45,4e,86,0d,00,ae,00,00
0.938745574,0,690,8,00,00,01,00,00,00,00,00
0.939651758,0,220,8,fd,03,e9,03,00,00,c7,0f
0.940556659,0,350,8,2a,13,e3,7f,80,00,00,25
0.941459849,0,2B0,5,d9,ff,00,07,9a,00,00,00
0.942363467,0,43F,8,00,40,60,ff,4d,70,0c,00
0.943269651,0,545,8,dc,14,00,88,32,00,33,00
0.944173268,0,220,8,ff,03,f2,03,00,00,c7,0f
0.945081163,0,545,8,dc,14,00,8a,32,00,34,00
0.946003597,0,440,8,ff,50,00,00,ff,74,0c,00
0.946908925,0,350,8,2a,13,03,7f,80,00,00,c5
0.947813398,0,260,8,15,1a,00,30,00,61,00,00
0.948716589,0,430,8,00,00,00,00,00,00,00,00
0.949640733,0,1F1,8,00,00,00,00,00,00,00,00
0.950623038,0,350,8,2a,13,13,7f,80,00,00,d5
0.951568138,0,2B0,5,d9,ff,00,07,ed,00,00,00
0.95247646,0,4F0,8,80,00,00,00,00,63,c6,14
0.953383926,0,220,8,ff,03,ea,03,00,00,cd,0f
0.954554823,0,0A0,8,45,4e,86,0d,00,ad,00,00
0.955481534,0,545,8,dc,14,00,89,34,00,33,00
0.956389001,0,1F1,8,00,00,00,00,00,00,00,00
0.95729775,0,350,8,2a,13,33,7f,80,00,00,f5
0.958205217,0,153,8,00,80,10,ff,00,ff,00,00
0.959119526,0,440,8,ff,50,00,00,ff,78,0c,00
0.960024854,0,5A1,8,54,47,48,39,47,41,98,17
0.960931466,0,220,8,fc,03,ef,03,00,00,d4,0f
0.961864591,0,545,8,dc,14,00,89,32,00,32,00
0.962773341,0,153,8,00,80,10,ff,00,ff,00,00
0.963675676,0,350,8,2a,13,53,7f,80,00,00,95
0.964578438,0,18F,8,fe,53,1a,00,00,56,00,00
0.96547949,0,220,8,fd,03,e7,03,00,00,c1,0f
0.966401497,0,440,8,ff,f0,00,00,ff,7c,0c,00
0.967391071,0,350,8,2a,13,63,7f,80,00,00,a5
0.968333605,0,428,8,05,00,00,80,65,08,02,00
0.969238506,0,440,8,ff,00,00,00,ff,74,0c,00
0.970143407,0,1F1,8,00,00,00,00,00,00,00,00
0.971324995,0,350,8,2a,13,73,7f,80,00,00,b5
0.972241014,0,690,8,00,00,01,00,00,00,00,00
0.973154896,0,59B,8,00,00,00,00,00,00,00,88
0.974062362,0,350,8,2a,13,83,7f,80,00,00,45
0.974969401,0,220,8,fd,03,e5,03,00,00,c1,0f
0.975873874,0,370,8,ff,20,00,00,ff,00,00,a8
0.976779631,0,440,8,ff,a0,00,00,ff,7c,0c,00
0.977704631,0,1F1,8,00,00,00,00,00,00,00,00
0.978610814,0,545,8,dc,14,00,89,32,00,31,00
0.979516998,0,220,8,ff,03,f9,03,00,00,c1,0f
0.980421043,0,350,8,2a,13,a3,7f,80,00,00,65
0.981325517,0,0A1,8,80,80,80,80,63,c8,0b,00
0.982229134,0,545,8,dc,13,00,8a,30,00,31,00
0.983150286,0,440,8,ff,00,00,00,ff,7c,0c,00
1.21222189,0,4B1,8,00,00,00,00,00,00,00,00
1.213516377,0,2B0,5,d9,ff,00,07,47,00,00,00
1.214437101,0,440,8,ff,50,00,00,ff,88,0c,00
1.215347989,0,220,8,ff,03,e9,03,00,00,d4,0f
1.216259732,0,350,8,2a,13,c3,7f,80,00,00,05
1.21716506,0,429,8,55,02,00,00,00,00,2d,03
1.218072099,0,440,8,ff,a0,00,00,ff,80,0c,00
1.218978283,0,350,8,2a,13,d3,7f,80,00,00,15
1.219882328,0,2A0,8,00,00,64,00,00,00,00,00
1.220849665,0,370,8,ff,20,00,00,ff,00,00,6c
1.221826411,0,220,8,fd,03,f2,03,00,00,c1,0f
1.222746707,0,350,8,2a,13,e3,7f,80,00,00,25
1.223670424,0,429,8,55,02,00,00,00,00,2d,03
1.224649308,0,440,8,ff,00,00,00,ff,80,0c,00
1.225563189,0,350,8,2a,13,f3,7f,80,00,00,35
1.226468945,0,220,8,ff,03,e7,03,00,00,c7,0f
1.227396939,0,1F1,8,00,00,00,00,00,00,00,00
1.228305261,0,545,8,dc,14,00,89,32,00,34,00
1.2292123,0,350,8,2a,13,03,7f,80,00,00,c5
1.230116773,0,329,8,ed,73,7f,90,49,20,00,14
1.231022101,0,153,8,00,80,10,ff,00,ff,00,00
1.231924864,0,220,8,fd,03,f7,03,00,00,da,0f
1.232828054,0,350,8,2a,13,13,7f,80,00,00,d5
1.233729533,0,4B1,8,00,00,00,00,00,00,00,00
1.234636145,0,690,8,00,00,01,00,00,00,00,00
1.235556441,0,153,8,00,80,10,ff,00,ff,00,00
1.236537463,0,260,8,15,1a,00,30,00,61,00,00
1.237643785,0,370,8,ff,20,00,00,ff,00,00,20
1.238595727,0,220,8,fd,03,ea,03,00,00,c1,0f
1.239503621,0,350,8,2a,13,33,7f,80,00,00,f5
1.24041066,0,153,8,00,80,10,ff,00,ff,00,00
1.241315133,0,545,8,dc,14,00,89,31,00,32,00
1.242265365,0,350,8,2a,13,43,7f,80,00,00,85
1.243193358,0,0A0,8,44,4e,8c,0d,00,ad,00,00
1.244096976,0,545,8,dc,14,00,89,31,00,34,00
1.245004443,0,440,8,ff,a0,00,00,ff,84,0c,00
1.245919179,0,350,8,2a,13,53,7f,80,00,00,95
1.246824935,0,2B0,5,d9,ff,00,07,21,00,00,00
