time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.875190409,0,43F,8,00,40,60,ff,8a,24,0c,00
0.876126528,0,153,8,00,80,10,ff,00,ff,00,00
0.877045114,0,545,8,dc,0d,00,87,42,00,43,00
0.877969686,0,2B0,5,d5,ff,00,07,c3,00,2d,03
0.878883995,0,440,8,ff,50,00,00,ff,18,0c,00
0.879798732,0,545,8,dc,0d,00,87,42,00,42,00
0.880710903,0,153,8,00,80,10,ff,00,ff,00,00
0.88162008,0,2B0,5,d5,ff,00,07,b4,00,da,0f
0.882527974,0,0A0,8,33,7d,66,0c,00,ad,00,00
0.883434158,0,1F1,8,00,00,00,00,00,00,00,00
0.884341624,0,429,8,54,02,00,00,00,00,2d,03
0.88528373,0,440,8,ff,f0,00,00,ff,28,0c,00
0.886217283,0,545,8,dc,0d,00,86,41,00,42,00
0.887134158,0,153,8,00,80,10,ff,00,ff,00,00
0.888049323,0,2B0,5,d5,ff,00,07,96,00,da,0f
0.888965342,0,0A0,8,33,7d,52,0c,00,ad,00,00
0.889895902,0,545,8,dc,0d,00,87,41,00,44,00
0.890809783,0,429,8,54,02,00,00,00,00,2d,03
0.891728368,0,2B0,5,d5,ff,00,07,87,00,44,00
0.892646954,0,220,8,2f,04,e2,03,00,00,cd,0f
0.893558697,0,545,8,dc,0d,00,87,41,00,44,00
0.894471295,0,2B0,5,d5,ff,00,07,78,00,cd,0f
0.895377907,0,690,8,00,00,00,00,20,00,00,00
0.896286656,0,545,8,dc,0d,00,87,43,00,43,00
0.897212084,0,430,8,00,00,00,00,00,00,00,00
0.898234588,0,2B0,5,d5,ff,00,07,69,00,00,00
0.899194655,0,18F,8,fe,40,13,00,00,4f,00,00
0.900151301,0,545,8,dc,0d,00,86,43,00,43,00
0.901066038,0,2B0,5,d5,ff,00,07,5a,4f,00,00
0.902231803,0,43F,8,00,40,60,ff,8a,1c,0c,00
0.903149533,0,545,8,dc,0d,00,87,42,00,3e,00
0.904059566,0,428,8,05,00,00,80,65,08,02,00
0.904972164,0,2B0,5,d5,ff,00,07,4b,00,00,00
0.905894171,0,59B,8,00,00,00,00,00,00,00,88
0.906807197,0,545,8,dc,0d,00,87,42,00,3e,00
0.907723644,0,2B0,5,d5,ff,00,07,3c,00,00,88
0.908630683,0,43F,8,00,40,60,ff,8a,18,0c,00
0.909540715,0,2A0,8,00,00,76,00,00,00,00,00
0.910449465,0,545,8,dc,0d,00,87,3d,00,3d,00
0.911356932,0,2B0,5,d5,ff,00,07,2d,00,e0,0f
0.912262688,0,440,8,ff,f0,00,00,ff,28,0c,00
0.913172292,0,545,8,dc,0d,00,86,3d,00,3d,00
0.914099858,0,220,8,33,04,df,03,00,00,da,0f
0.915089433,0,2B0,5,d5,ff,00,07,1e,00,3d,00
0.91608585,0,153,8,00,80,10,ff,00,ff,00,00
0.917063024,0,545,8,dc,0d,00,87,3c,00,3e,00
0.918180465,0,429,8,54,02,00,00,00,00,2d,03
0.919237608,0,43F,8,00,40,60,ff,8a,20,0c,00
0.920159187,0,329,8,85,b2,7e,90,09,20,00,14
0.92110001,0,220,8,2f,04,dc,03,00,00,c7,0f
0.922030997,0,2B0,5,d5,ff,00,07,f0,20,00,14
0.922951293,0,316,8,45,13,58,0c,13,0f,00,00
0.923866885,0,545,8,dc,0d,00,87,3d,00,3f,00
0.924778628,0,429,8,54,02,00,00,00,00,2d,03
0.925701062,0,153,8,00,80,10,ff,00,ff,00,00
0.926612805,0,260,8,10,13,00,30,00,5f,00,00
0.927526259,0,545,8,dc,0d,00,86,3d,00,3f,00
0.928437575,0,2B0,5,d5,ff,00,07,d2,00,e0,0f
0.929349745,0,690,8,00,00,00,00,20,00,00,00
0.930258495,0,153,8,00,80,10,ff,00,ff,00,00
0.93118991,0,429,8,54,02,00,00,00,00,2d,03
0.932177774,0,2B0,5,d5,ff,00,07,c3,ff,00,00
0.933128433,0,0A0,8,33,7d,52,0c,00,ad,00,00
0.934039748,0,545,8,dc,0d,00,87,3e,00,3d,00
0.935199099,0,153,8,00,80,10,ff,00,ff,00,00
0.936151041,0,370,8,ff,20,00,00,ff,00,00,a8
0.937078607,0,350,8,16,13,33,7e,85,00,00,cd
0.938002752,0,220,8,33,04,d9,03,00,00,da,0f
0.938914495,0,2B0,5,d5,ff,00,07,a5,00,2d,03
0.939827521,0,59B,8,00,00,00,00,00,00,00,4c
0.940737126,0,430,8,00,00,00,00,00,00,00,00
0.941653145,0,545,8,dc,0c,00,87,3c,00,3e,00
0.942561895,0,220,8,33,04,e4,03,02,00,da,0f
0.943472355,0,260,8,10,13,00,30,00,5f,00,00
0.944381105,0,545,8,dc,0d,00,87,3d,00,40,00
0.945291565,0,429,8,54,02,00,00,00,00,2d,03
0.94620288,0,440,8,ff,50,00,00,ff,24,0c,00
0.947133868,0,2A0,8,00,00,76,00,00,00,00,00
0.948123015,0,545,8,dc,0d,00,87,3d,00,40,00
0.94907068,0,2B0,5,d5,ff,00,07,78,00,00,00
0.949979857,0,0A1,8,80,80,80,80,65,45,0b,00
0.950890317,0,545,8,dc,0d,00,87,3f,00,40,00
0.952158718,0,220,8,33,04,d9,03,00,00,da,0f
0.953137174,0,370,8,ff,20,00,00,ff,00,00,6c
0.954058753,0,329,8,0c,b2,7e,90,09,20,00,14
0.954979904,0,1F1,8,00,00,00,00,00,00,00,00
0.955893786,0,2B0,5,d5,ff,00,07,5a,20,00,14
0.956802963,0,316,8,45,13,56,0c,13,0f,00,00
0.957712568,0,545,8,dc,0d,00,87,3f,00,40,00
0.958627732,0,429,8,54,02,00,00,00,00,2d,03
0.959540758,0,2B0,5,d5,ff,00,07,4b,00,cd,0f
0.960454212,0,18F,8,fe,40,13,00,00,4f,00,00
0.961365955,0,430,8,00,00,00,00,00,00,00,00
0.962278981,0,1F1,8,00,00,00,00,00,00,00,00
0.963191579,0,690,8,00,00,00,00,20,00,00,00
0.964112731,0,350,8,16,13,b3,7e,85,00,00,4d
0.965084772,0,429,8,54,02,00,00,00,00,2d,03
0.966047405,0,220,8,34,04,dd,03,00,00,cd,0f
0.966961714,0,0A1,8,80,80,80,80,65,a7,0b,00
0.967893984,0,545,8,dc,0d,00,87,41,00,44,00
0.969072579,0,1F1,8,00,00,00,00,00,00,00,00
0.969991164,0,43F,8,00,40,60,ff,8a,1c,0c,00
0.970899914,0,220,8,2d,04,df,03,00,00,da,0f
0.971810802,0,545,8,dc,0d,00,87,43,00,44,00
0.972721262,0,2B0,5,d5,ff,00,07,0f,00,2d,03
0.973631722,0,59B,8,00,00,00,00,00,00,00,00
0.974542182,0,545,8,dc,0d,00,87,43,00,46,00
0.975454781,0,153,8,00,80,10,ff,00,ff,00,00
0.976362247,0,2B0,5,d5,ff,00,07,f0,00,00,00
0.97727228,0,260,8,11,13,00,30,00,61,00,00
0.978180174,0,220,8,36,04,dc,03,00,00,cd,0f
0.979083364,0,429,8,54,02,00,00,00,00,2d,03
0.979989548,0,440,8,ff,f0,00,00,ff,1c,0c,00
0.980910699,0,545,8,dc,0d,00,87,45,00,47,00
0.981912248,0,153,8,00,80,10,ff,00,ff,00,00
0.982863762,0,4B1,8,b0,28,eb,f9,00,00,00,bc
0.983786624,0,0A0,8,33,7d,56,0c,00,ad,00,00
0.984892091,0,545,8,dc,0d,00,87,46,00,47,00
0.985928707,0,429,8,54,02,00,00,00,00,2d,03
0.986840023,0,43F,8,00,40,60,ff,8a,18,0c,00
0.987750055,0,220,8,33,04,d9,03,00,00,da,0f
0.988658805,0,545,8,dc,0d,00,87,46,00,47,00
0.989568837,0,2B0,5,d5,ff,00,07,b4,00,da,0f
0.990479298,0,4F0,8,80,00,00,00,00,7d,c7,14
1.219651399,0,545,8,dc,0d,00,86,46,00,47,00
1.223019973,0,429,8,54,02,00,00,00,00,2d,03
1.226413779,0,2B0,5,d5,ff,00,07,a5,00,47,00
1.229811005,0,260,8,11,13,00,30,00,5f,00,00
1.232843021,0,545,8,dc,0d,00,87,46,00,48,00
1.234501864,0,2B0,5,d5,ff,00,07,96,5f,00,00
1.236053794,0,430,8,00,00,00,00,00,00,00,00
1.237454338,0,4B1,8,b0,28,eb,f9,00,00,00,bc
1.238704349,0,428,8,05,00,00,80,65,08,02,00
1.239924426,0,2B0,5,d5,ff,00,07,87,00,c7,0f
1.241121409,0,316,8,45,13,4a,0c,13,0f,00,00
