timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
// 停車場前進後退測試, 測試前加上圖吧
8.595876184,1F1,8,00,00,00,00,00,00,00,00
8.596722055,2A0,8,00,00,86,00,00,00,00,00
8.597552959,260,8,0e,13,00,30,00,5d,00,00
8.598394554,350,8,28,13,23,89,98,00,00,09
8.599225031,440,8,ff,a0,00,00,ff,20,0c,00
8.60004781,429,8,54,02,00,00,00,00,2d,03
8.600912497,4F0,8,80,00,00,00,00,c5,bc,14
8.601737414,545,8,dc,0d,00,88,17,00,1b,00
8.602561476,59B,8,00,00,00,00,00,00,00,c4
8.603388104,153,8,00,80,10,ff,00,ff,00,00
8.60422585,260,8,0e,13,00,30,00,5d,00,00
8.605048201,4D0,8,00,ff,fa,00,00,00,00,00
8.605872263,545,8,dc,0d,00,87,1a,00,1c,00
8.606699746,220,8,fd,03,e7,03,00,00,da,0f
8.612422848,0A0,8,34,7b,5c,0c,00,ad,00,00
8.613937548,370,8,ff,20,00,00,ff,00,00,e4
8.615371851,220,8,fd,03,ec,03,00,00,da,0f
8.617664,316,8,45,13,60,0c,13,11,00,00
8.619414757,18F,8,fe,4d,13,00,00,4f,00,00
8.623021043,4D0,8,00,ff,fa,00,00,00,00,00
8.624643508,429,8,54,02,00,00,00,00,2d,03
8.627155036,4F0,8,80,00,00,00,00,c5,bc,14
8.629402283,2A0,8,00,00,86,00,00,00,00,00
8.632258917,440,8,ff,f0,00,00,ff,24,0c,00
8.635315258,220,8,fa,03,ef,03,00,00,d4,0f
8.636993744,316,8,45,13,64,0c,13,11,00,00
8.640524337,329,8,40,ae,80,90,09,20,00,14
8.64211815,545,8,dc,0c,00,87,17,00,16,00
8.645701344,429,8,54,02,00,00,00,00,2d,03
8.647350322,220,8,fd,03,ec,03,02,00,c7,0f
8.651029735,350,8,28,13,93,89,98,00,00,b9
8.654213512,440,8,ff,50,00,00,ff,24,0c,00
8.655815023,220,8,ff,03,f1,03,00,00,cd,0f
8.657238636,316,8,45,13,62,0c,13,11,00,00
8.65944825,545,8,dc,0c,00,87,15,00,17,00
8.661089104,1F1,8,00,00,00,00,00,00,00,00
8.66466631,429,8,54,02,00,00,00,00,2d,03
8.667754297,2B0,5,d7,ff,00,07,c1,11,00,00
8.670934653,43F,8,00,40,60,ff,84,20,0c,00
8.672542579,440,8,ff,f0,00,00,ff,20,0c,00
8.674988678,220,8,fc,03,ed,03,00,00,cd,0f
8.676597886,18F,8,fe,4e,13,00,00,4f,00,00
8.680231113,440,8,ff,00,00,00,ff,30,0c,00
8.68356542,429,8,54,02,00,00,00,00,2d,03
8.686844134,4F0,8,80,00,00,00,00,c5,bc,14
8.688464888,18F,8,fe,4e,13,00,00,4f,00,00
8.692037818,59B,8,00,00,00,00,00,00,00,88
8.693645316,153,8,00,80,10,ff,00,ff,00,00
8.695096725,220,8,ff,03,ef,03,00,00,c1,0f
8.698390406,2B0,5,d7,ff,00,07,94,00,00,00
8.700057346,440,8,ff,a0,00,00,ff,28,0c,00
8.704151996,1F1,8,00,00,00,00,00,00,00,00
8.705790712,4F0,8,80,00,00,00,00,c5,bc,14
8.709360221,220,8,fd,03,ed,03,00,00,c1,0f
8.710976699,440,8,ff,f0,00,00,ff,24,0c,00
8.713444608,153,8,00,80,10,ff,00,ff,00,00
8.715052105,220,8,fd,03,ed,03,00,00,c1,0f
8.717622648,545,8,dc,0c,00,87,16,00,18,00
8.721293079,440,8,ff,00,00,00,ff,28,0c,00
8.722917255,1F1,8,00,00,00,00,00,00,00,00
8.725366348,4F0,8,80,00,00,00,00,c5,bc,14
8.728286272,153,8,00,80,10,ff,00,ff,00,00
8.72989377,440,8,ff,50,00,00,ff,24,0c,00
8.731360146,153,8,00,80,10,ff,00,ff,00,00
8.734880904,0A1,8,80,80,80,80,65,45,0b,00
8.737886784,370,8,ff,20,00,00,ff,00,00,a8
8.739494709,429,8,54,02,00,00,00,00,2d,03
8.741865544,1F1,8,00,00,00,00,00,00,00,00
8.743467054,18F,8,fe,4d,13,00,00,4f,00,00
8.747069491,440,8,ff,f0,00,00,ff,2c,0c,00
8.748750115,220,8,ff,03,e5,03,00,00,c7,0f
8.750178005,316,8,45,13,5e,0c,13,11,00,00
8.753896332,260,8,0e,13,00,30,00,5e,00,00
8.755495705,440,8,ff,00,00,00,ff,30,0c,00
8.759077187,429,8,54,02,00,00,00,00,2d,03
8.760698797,4F0,8,80,00,00,00,00,c5,bc,14
8.762133101,329,8,ed,af,80,90,09,20,00,14
8.765386584,440,8,ff,50,00,00,ff,2c,0c,00
8.767030858,5A1,8,54,47,48,39,47,41,98,17
8.771122515,316,8,45,13,60,0c,13,11,00,00
8.772762514,220,8,ff,03,f1,03,00,00,da,0f
8.776443636,440,8,ff,a0,00,00,ff,24,0c,00
8.778108438,429,8,54,02,00,00,00,00,2d,03
8.781667683,1F1,8,00,00,00,00,00,00,00,00
8.783321366,545,8,e4,0c,00,87,17,00,16,00
8.787299271,59B,8,00,00,00,00,00,00,00,4c
8.789001277,220,8,fd,03,ec,03,00,00,c7,0f
8.792584042,0A0,8,33,7b,60,0c,00,ae,00,00
8.794249272,220,8,ff,03,ef,03,00,00,d4,0f
8.79786411,428,8,05,00,00,80,65,08,02,00
8.799500687,429,8,54,02,00,00,00,00,2d,03
8.803513231,0A0,8,33,7b,60,0c,00,ae,00,00
8.805163065,370,8,ff,20,00,00,ff,00,00,e4
8.808730436,545,8,dc,0c,00,87,15,00,16,00
8.810337078,220,8,fd,03,f2,03,00,00,e0,0f
8.812805842,260,8,0e,13,00,30,00,5d,00,00
8.814409919,153,8,00,80,10,ff,00,ff,00,00
8.818214202,429,8,54,02,00,00,00,00,2d,03
8.821263273,4F0,8,80,00,00,00,00,c5,bc,14
8.822940048,260,8,0e,12,00,30,00,5d,00,00
8.826471925,1F1,8,00,00,00,00,00,00,00,00
8.828140575,545,8,dc,0c,00,87,15,00,15,00
8.830589668,220,8,ff,03,e5,03,00,00,da,0f
8.832186902,350,8,28,13,d3,89,98,00,00,f9
8.836254183,440,8,ff,00,00,00,ff,30,0c,00
